Description	ID	derma	Rhinocladiellamackenziei	Fonsecaeapedrosoi	Fonsecaeanubica	Phialohpraattae	Fonsecaeaerecta	Fonsecaeamonophora	Caproniacoronata	Cparoniaepimyces	Caproniasemiimmersa	Cladophialophorabantiana	Cladophialophoracarrionii	Cladophialophoraimmunda	Cladophialophorapsammophila	Cladiphialophorayegresii	Coniosporiumapollinis	Exophialaaquamarina	Exophialamesophila	Exophialaoligosperma	Exophialasideris	Exophialaspinifera	Exophialaxenobiotica	Fonsecaeamultimorphosa	Verruconisgallopava	Phialophoraeuropaea	Arthrocladiumfulminans	CBS4920	CBS134916	CBS5597	CBS2003	max	low	amp	
Zn(2)-C6 fungal-type DNA-binding domain	IPR001138	188	222	272	176	121	211	180	164	199	318	230	156	434	192	131	58	225	315	457	355	290	354	266	233	193	100	58	57	58	35	457	35	422	
"Transcription factor domain, fungi"	IPR007219	143	229	306	280	177	250	307	167	220	236	278	151	459	321	140	81	352	266	424	273	302	289	319	167	179	125	64	65	61	59	459	59	400	
Major facilitator superfamily	IPR011701	245	284	309	305	316	290	311	235	292	289	311	238	315	333	227	139	396	263	352	244	350	331	310	218	312	203	119	121	116	124	396	116	280	
WD40 repeat	IPR001680	291	351	270	267	261	295	272	273	283	321	276	275	360	281	279	295	274	330	361	310	314	305	271	327	275	470	265	254	251	247	470	247	223	
Cytochrome P450 	IPR001128	70	191	174	179	150	151	175	63	102	115	184	103	153	253	96	84	201	82	138	100	130	181	173	79	120	78	44	38	50	49	253	38	215	
Short-chain dehydrogenase/reductase SDR	IPR002347	82	145	200	194	164	168	222	94	144	140	193	126	160	225	123	72	228	106	168	144	166	163	183	117	144	88	40	48	38	52	228	38	190	
"Major facilitator, sugar transporter-like "	IPR005828	71	142	184	180	174	173	184	61	93	138	186	118	176	202	113	73	213	64	169	113	146	180	195	75	139	110	34	43	30	37	213	30	183	
FAD-binding domain	IPR002938	49	92	105	106	100	95	106	42	54	85	124	73	93	162	72	26	127	52	95	72	89	103	121	47	76	35	16	22	20	22	162	16	146	
Ankyrin repeat-containing domain 	IPR020683	39	144	110	115	38	119	121	32	66	135	104	61	178	134	60	80	130	57	59	50	79	81	100	52	54	77	32	87	36	46	178	32	146	
Fungal transcription factor	IPR021858	46	92	106	105	85	98	98	79	103	114	93	75	142	96	63	28	144	113	160	126	147	137	108	68	79	47	19	27	17	24	160	17	143	
Heterokaryon incompatibility	IPR010730	12	67	63	60	76	73	63	13	40	96	111	54	103	132	49	65	27	16	51	45	97	59	89	106	62	78	10	31	14	16	132	10	122	
Flavin monooxygenase-like	IPR020946	27	46	113	88	39	59	113	23	66	43	75	37	56	86	41	15	62	27	48	35	54	47	70	23	26	25	16	9	14	12	113	9	104	
"Alcohol dehydrogenase, C-terminal "	IPR013149	49	79	113	102	81	89	109	58	75	75	93	63	98	110	65	43	117	73	83	85	94	95	104	64	64	53	26	34	28	34	117	26	91	
"Alcohol dehydrogenase, N-terminal "	IPR013154	45	70	112	101	76	82	109	55	78	70	86	62	91	98	63	47	101	66	77	81	91	96	99	56	66	51	24	31	24	27	112	24	88	
Alpha/beta hydrolase fold-1	IPR000073	41	67	75	71	95	87	77	38	49	76	88	66	83	87	64	41	99	54	79	71	85	87	101	52	85	42	21	30	20	26	101	20	81	
Protein kinase domain	IPR000719	139	109	147	144	113	131	144	112	146	134	117	110	171	126	100	140	115	136	181	134	130	173	120	147	120	125	155	115	152	109	181	100	81	
AMP-dependent synthetase/ligase 	IPR000873	55	86	108	101	71	71	109	46	55	61	90	59	83	103	53	36	87	55	78	50	70	66	90	60	62	51	41	30	40	32	109	30	79	
Siderophore iron transporter 1/trichothecene efflux pump Tri12 	IPR010573	6	33	64	56	22	21	72	3	19	19	35	12	22	49	15	10	46	14	23	18	24	18	33	26	11	5	2	3	2	2	72	2	70	
"AMP-binding enzyme, C-terminal domain "	IPR025110	29	52	71	64	38	46	72	24	28	39	58	39	56	66	36	20	53	33	46	31	41	38	59	32	30	28	18	14	19	14	72	14	58	
Aldehyde dehydrogenase domain 	IPR015590	20	45	60	55	42	46	63	28	36	35	51	29	54	64	30	22	69	28	40	36	34	45	55	30	34	28	15	18	17	20	69	15	54	
Amidohydrolase-related	IPR006680	18	40	40	38	34	41	38	30	31	41	49	36	36	54	35	13	63	31	37	38	44	44	45	23	33	19	12	14	11	17	63	11	52	
ABC transporter-like	IPR003439	63	97	66	69	70	75	70	66	59	74	79	60	85	77	56	56	86	81	102	67	87	99	69	70	75	63	52	58	54	58	102	52	50	
NmrA-like domain	IPR008030	16	28	33	32	28	33	36	23	25	28	31	23	32	37	21	18	56	18	30	30	52	50	40	26	30	18	11	11	9	13	56	9	47	
Protein of unknown function DUF3659 	IPR022124	13	13	13	13	14	13	13	13	13	13	13	13	13	13	13	16	13	13	13	13	13	13	13	47	13	13	0	0	0	0	47	0	47	
Aminoglycoside phosphotransferase 	IPR002575	25	17	32	30	6	14	33	6	30	10	9	13	12	15	10	12	8	5	29	3	19	27	12	14	7	4	40	12	49	5	49	3	46	Expandida em 2 especies de ant
Oxoglutarate/iron-dependent dioxygenase	IPR005123	16	29	41	40	34	41	42	38	31	35	39	22	44	40	22	8	34	28	33	37	50	41	43	18	27	19	4	7	6	10	50	4	46	
RNA recognition motif domain	IPR000504	100	96	96	94	90	95	92	95	93	106	95	94	120	95	93	95	98	122	123	112	97	116	95	134	94	94	92	98	94	92	134	90	44	
Alpha/beta hydrolase fold-3	IPR013094	24	40	58	55	32	45	59	29	41	28	48	28	46	61	31	21	58	36	56	42	44	40	46	27	37	30	20	22	18	19	61	18	43	
Non-haem dioxygenase N-terminal domain	IPR026992	13	27	34	34	30	36	34	34	27	31	32	19	38	32	21	5	30	24	27	32	46	33	38	12	23	14	4	6	4	11	46	4	42	
NADP-dependent oxidoreductase domain	IPR023210	31	37	43	43	46	42	44	32	43	41	40	32	56	41	28	31	55	30	35	39	45	46	42	35	38	39	16	16	18	15	56	15	41	
ABC-2 type transporter	IPR013525	19	32	18	18	26	20	18	22	17	22	28	15	31	30	14	10	30	29	35	21	26	47	18	13	18	13	11	7	11	8	47	7	40	
Amidase signature domain	IPR023631	22	34	34	36	39	37	38	47	45	31	30	23	31	26	19	14	41	36	35	38	41	42	32	19	37	16	9	15	7	23	47	7	40	
BTB/POZ domain 	IPR000210	14	16	21	23	43	18	21	19	19	19	18	20	23	19	21	24	19	12	15	22	22	21	23	12	23	19	8	9	7	9	43	7	36	
"Zinc finger, CCHC-type"	IPR001878	25	10	20	15	16	19	19	27	19	17	13	26	19	23	19	27	19	46	17	26	23	23	20	22	18	14	10	15	20	12	46	10	36	
Glyoxalase/fosfomycin resistance/dioxygenase domain 	IPR004360	12	19	30	27	13	21	31	5	11	16	27	11	18	39	10	8	35	13	12	16	20	20	25	14	13	9	3	5	4	5	39	3	36	
Mitochondrial substrate/solute carrier 	IPR018108	113	109	124	122	125	116	122	107	109	132	113	115	132	120	114	108	114	130	138	140	122	135	115	125	120	113	105	104	109	104	140	104	36	
"Carboxylesterase, type B"	IPR002018	10	20	18	20	38	24	21	12	9	29	22	17	14	28	20	17	39	7	24	17	33	23	21	11	19	15	6	5	8	4	39	4	35	
Carbohydrate-binding WSC	IPR002889	18	4	13	12	30	15	12	16	17	20	14	15	18	14	15	19	13	10	20	14	16	22	15	5	37	2	10	11	9	7	37	2	35	
"Fumarylacetoacetase-like, C-terminal "	IPR011234	6	18	20	18	23	15	21	7	9	17	32	9	16	38	8	9	30	10	12	13	13	23	29	6	9	6	3	4	3	3	38	3	35	
Amino acid/polyamine transporter I 	IPR002293	25	38	45	42	39	40	45	32	43	45	46	34	39	53	33	26	46	25	51	26	51	45	40	29	36	33	22	34	19	28	53	19	34	
FAD dependent oxidoreductase	IPR006076	27	25	23	23	34	26	23	31	26	19	19	20	28	19	21	17	40	18	45	35	38	37	26	22	34	33	12	12	11	16	45	11	34	
GNAT domain 	IPR000182	35	41	42	42	42	42	43	34	36	50	46	39	54	46	38	30	45	39	47	35	46	55	44	43	44	33	24	26	22	26	55	22	33	
Purine-cytosine permease 	IPR001248	6	15	20	21	26	24	20	29	21	15	19	12	17	18	11	4	24	12	26	17	36	30	24	16	15	5	3	8	3	10	36	3	33	
NAD-dependent epimerase/dehydratase 	IPR001509	17	18	25	29	24	22	28	19	17	25	28	26	29	28	23	10	38	24	24	27	33	23	34	12	26	14	7	8	7	8	38	7	31	
Cation efflux protein 	IPR002524	7	8	8	7	7	7	7	7	7	8	8	8	12	7	8	7	8	7	36	9	10	11	8	9	8	5	6	6	6	5	36	5	31	
TauD/TfdA-like domain	IPR003819	16	21	32	32	24	28	32	16	34	23	26	19	33	25	15	3	16	15	18	17	28	20	29	12	21	10	13	14	13	12	34	3	31	
"Glutathione S-transferase, N-terminal "	IPR004045	20	28	42	42	28	39	42	15	26	32	39	32	41	33	25	25	41	33	34	31	32	34	44	25	33	21	13	17	14	15	44	13	31	
Glutathione-dependent formaldehyde-activating enzyme/centromere protein V 	IPR006913	14	18	22	23	26	27	22	17	19	26	25	20	31	30	21	20	28	18	17	18	19	14	28	22	24	15	0	1	2	0	31	0	31	
Protein of unknown function DUF3435	IPR021842	1	7	1	1	0	2	1	3	2	0	2	0	3	4	0	0	0	9	31	2	4	3	0	4	7	4	2	6	0	0	31	0	31	
SnoaL-like domain	IPR037401	4	13	16	17	14	9	17	6	12	5	24	6	14	33	8	3	25	2	12	10	18	13	20	4	16	4	4	4	4	3	33	2	31	
